Event,Sport,event_id
"Art Competitions Mixed Sculpturing, Medals",Art Competitions,524
"Equestrianism Men's Vaulting, Team",Equestrianism,525
Swimming Men's 100 Yard Backstroke,Swimming,526
Swimming Men's 440 Yard Breaststroke,Swimming,527
"Art Competitions Mixed Literature, Epic Works",Art Competitions,528
Art Competitions Mixed Architecture,Art Competitions,529
"Athletics Men's 3,500 metres Walk",Athletics,530
Roque Men's Singles,Roque,531
Gymnastics Men's Side Horse,Gymnastics,532
Archery Men's Double American Round,Archery,533
Archery Men's Team Round,Archery,534
"Archery Men's Target Archery, 33 metres, Individual",Archery,535
